,country_code,country_name,region,total_cases,total_deaths,total_vaccinations,vaccinated_1dose,fully_vacccinated,total_vaccinations_per100,percent_full_vac,first_vaccine_date,last_updated_date,stringency
156,MUS,Mauritius,Africa,17416,160,1716683,884765,831918,134.984,65.9,26/01/2021,20/10/2021,32.41
158,COG,Congo,Africa,16868,249,269914,198302,112541,4.891,NA,23/03/2021,25/10/2021,35.19
159,MLI,Mali,Africa,15880,559,429914,319087,256382,2.123,1.31,31/03/2021,22/10/2021,44.44
160,ABW,Aruba,Americas,15815,171,158600,82256,76344,148.549,NA,17/02/2021,22/10/2021,35.19
161,BRB,Barbados,Americas,15588,139,265301,146106,119195,92.319,41.08,10/02/2021,22/10/2021,67.59
162,AND,Andorra,Europe,15425,130,102692,54383,48309,132.9,61.86,20/01/2021,3/10/2021,49.07
163,BFA,Burkina Faso,Africa,14793,214,380344,348158,278016,1.82,NA,2/06/2021,24/10/2021,13.89
164,GUM,Guam,Western Pacific,14519,230,237500,129930,117562,140.72,NA,4/01/2021,14/10/2021,51.85
165,DJI,Djibouti,Eastern Mediterranean,13461,181,55882,18230,37652,5.656,NA,15/03/2021,21/10/2021,37.96
166,ISL,Iceland,Europe,13313,33,505523,281844,223679,138.8,77.02,30/12/2020,17/10/2021,41.67
167,GNQ,Equatorial Guinea,Africa,13236,163,424653,239425,185228,30.268,13.66,12/02/2021,22/10/2021,NA
168,NIC,Nicaragua,Americas,12866,208,1306694,944476,362496,19.725,5.54,2/03/2021,22/10/2021,2.78
169,BRN,Brunei Darussalam,Western Pacific,12595,53,569604,339315,224032,130.201,54.22,3/04/2021,15/10/2021,79.63
170,LCA,Saint Lucia,Americas,12433,250,88638,49802,38836,48.271,20.8,17/02/2021,22/10/2021,NA
171,SSD,South Sudan,Africa,12327,133,127200,84839,42361,1.136,0.35,6/04/2021,25/10/2021,27.78
172,CAF,Central African Republic,Africa,11518,100,385557,329627,285529,7.983,NA,19/03/2021,21/10/2021,11.11
173,JEY,Jersey,Europe,10772,80,162928,78261,74327,151.145,NA,NA,18/10/2021,NA
174,NCL,New Caledonia,Western Pacific,10687,261,312524,171401,141123,109.466,NA,20/01/2021,16/10/2021,NA
175,GMB,Gambia,Africa,9962,340,208379,228018,271719,8.623,8.68,10/03/2021,24/10/2021,33.33
176,YEM,Yemen,Eastern Mediterranean,9711,1858,356173,308025,48148,1.194,NA,20/04/2021,11/10/2021,23.15
177,IMN,Isle of Man,Europe,9327,57,131628,67353,64275,154.798,NA,NA,21/10/2021,NA
178,VIR,United States Virgin Islands,Americas,7145,80,NA,NA,NA,NA,NA,NA,NA,42.59
179,ERI,Eritrea,Africa,6798,45,NA,NA,NA,NA,NA,NA,NA,50.93
180,SLE,Sierra Leone,Africa,6397,121,396196,318380,110744,4.967,1.42,15/03/2021,18/10/2021,29.63
181,NER,Niger,Africa,6260,208,803146,479613,323533,3.318,1.37,29/03/2021,15/10/2021,25
182,GNB,Guinea-Bissau,Africa,6133,141,127936,117488,10448,6.501,NA,2/04/2021,24/10/2021,NA
183,GIB,Gibraltar,Europe,5904,98,84477,40173,39796,250.741,NA,NA,20/10/2021,NA
184,GRD,Grenada,Americas,5818,196,67959,37675,30284,60.396,25.54,15/02/2021,22/10/2021,NA
185,LBR,Liberia,Africa,5812,287,358079,NA,249861,7.08,NA,1/04/2021,22/10/2021,40.74
186,BMU,Bermuda,Americas,5625,98,89029,45291,43738,142.966,NA,11/01/2021,22/10/2021,47.22
187,NZL,New Zealand,Western Pacific,5539,28,5709471,3420900,2288571,118.399,60.33,19/02/2021,8/10/2021,81.02
188,SMR,San Marino,Europe,5534,92,47302,25084,22218,139.4,65.62,24/02/2021,17/10/2021,37.96
189,TCD,Chad,Africa,5069,174,199516,155038,44478,1.215,NA,4/06/2021,21/10/2021,22.22
190,VCT,Saint Vincent and the Grenadines,Americas,4860,63,38030,23127,14903,34.28,13.48,1/02/2021,22/10/2021,NA
191,DMA,Dominica,Americas,4659,30,50991,27412,23579,70.83,32.84,12/02/2021,22/10/2021,79.63
192,SXM,Sint Maarten,Americas,4480,75,50410,26220,24190,117.555,NA,22/02/2021,22/10/2021,NA
193,COM,Comoros,Africa,4233,147,407792,245694,162098,46.894,NA,10/04/2021,19/10/2021,NA
194,ATG,Antigua and Barbuda,Americas,4031,99,104163,55755,48408,106.366,48.7,19/02/2021,22/10/2021,NA
195,STP,Sao Tome and Principe,Africa,3705,56,103720,75837,27883,47.326,12.97,15/03/2021,15/10/2021,NA
196,LIE,Liechtenstein,Europe,3652,58,48245,24829,24124,124.513,63.45,NA,21/10/2021,28.7
